URL,Website_Type,Text Chunk,Flesch Reading Ease,Flesch-Kincaid Grade Level,Difficult Words,Total Number of Sentences,Total Number of Words,VADER Sentiment Score,TextBlob Sentiment Score
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Thank you for your interest in the Anthropology Program at UC San Diego!,66.74,7.2,3,1,13,0.6996,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,"We welcome talented prospective students from across the nation and around the world toapply.If you're interested in the disciplines of archaeological, biological, and sociocultural anthropology, this is definitely the field for you.",21.4,14.3,11,2,32,0.8934,0.35
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,UC San Diego’s Admissions Officehandles all undergraduate admissions for both first -years and transfer students. Students interested in majoring in Anthropology must first be admitted to UC San Diego as an undergraduate student.,29.35,13.3,10,2,33,0.4767,0.25
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,For more information visit:UCSD Admissions Information,-27.68,18.6,2,1,6,0.0,0.5
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Tips for visiting campus:,50.5,7.2,2,1,4,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,"When students apply, they select one of the six colleges.Click herefor an overview of the college requirements.",71.31,5.4,6,2,17,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Please note:,120.21,-3.1,0,1,2,0.3182,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,"The Anthropology major hasno pre-requisitecourses required.All coursework is designed to be taken at UC San Diego, however we accept UC transferable coursework to fulfill lower division general education requirements.",14.46,14.8,12,2,29,0.5106,0.05625000000000001
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Transfer Preparation,-6.7,14.7,2,1,2,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,"IGETC Certification:Completion of theIntersegmental General Education Transfer Curriculum (IGETC)is strongly recommended for all students transferring from a California community college.This curriculum will serve to clear most general education requirements for incoming transfer students, leaving one to eight (1-8) general education courses depending on which of the six UCSD colleges the student is admitted into.",1.77,19.7,19,2,54,0.7096,0.19722222222222222
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,"If you are a transfer student looking to complete coursework to apply towards your major, you can search for equivalent courses at your university.",47.12,12.7,9,1,24,0.0,0.08125
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,California institutions canvisitassist.orgto find courses at your college that:,-0.78,14.5,4,2,9,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Incoming Student Programs,9.21,12.7,3,1,3,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Limits on Transfer Units,75.88,3.7,2,1,4,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,LIMITS ON TRANSFER UNITS: Transfer students will be granted up to70 semester/ 105 quarter unitsof credit for lower-division coursework completed at any institution (or combination of institutions).,10.23,18.5,14,1,27,0.5574,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,"For units beyond the maximum, subject credit for appropriate coursework will be granted and may be used to satisfy requirements:",42.72,12.3,8,1,20,0.765,0.16666666666666669
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,UC San Diego accepts transfer students at the junior (third year) level only.,66.74,7.2,3,1,13,0.3182,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,A transfer applicant may be considered in senior standing if they have completed:,49.82,9.5,6,1,13,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,"If you have questions about the number of transferrable units, please call the Office of Admissions at 858-534-4831.",78.59,6.8,3,1,18,0.3818,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,UC Summer Session + Online Learning Courses,48.47,8.0,4,1,6,0.0,0.0
