URL,Website_Type,STEM,Department,Time_to_Scrape,Text Chunk,Flesch Reading Ease,Flesch-Kincaid Grade Level,Difficult Words,Total Number of Sentences,Total Number of Words,VADER Sentiment Score,TextBlob Sentiment Score
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,Thank you for your interest in the Anthropology Program at UC San Diego!,66.74,7.2,3,1,13,0.6996,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,"We welcome talented prospective students from across the nation and around the world toapply.If you're interested in the disciplines of archaeological, biological, and sociocultural anthropology, this is definitely the field for you.",21.4,14.3,11,2,32,0.8934,0.35
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,UC San Diego’s Admissions Officehandles all undergraduate admissions for both first -years and transfer students. Students interested in majoring in Anthropology must first be admitted to UC San Diego as an undergraduate student.,29.35,13.3,10,2,33,0.4767,0.25
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,For more information visit:UCSD Admissions Information,-27.68,18.6,2,1,6,0.0,0.5
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,Tips for visiting campus:,50.5,7.2,2,1,4,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,"When students apply, they select one of the six colleges.Click herefor an overview of the college requirements.",71.31,5.4,6,2,17,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,Please note:,120.21,-3.1,0,1,2,0.3182,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,"The Anthropology major hasno pre-requisitecourses required.All coursework is designed to be taken at UC San Diego, however we accept UC transferable coursework to fulfill lower division general education requirements.",14.46,14.8,12,2,29,0.5106,0.05625000000000001
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,Transfer Preparation,-6.7,14.7,2,1,2,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,"IGETC Certification:Completion of theIntersegmental General Education Transfer Curriculum (IGETC)is strongly recommended for all students transferring from a California community college.This curriculum will serve to clear most general education requirements for incoming transfer students, leaving one to eight (1-8) general education courses depending on which of the six UCSD colleges the student is admitted into.",1.77,19.7,19,2,54,0.7096,0.19722222222222222
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,"If you are a transfer student looking to complete coursework to apply towards your major, you can search for equivalent courses at your university.",47.12,12.7,9,1,24,0.0,0.08125
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,California institutions canvisitassist.orgto find courses at your college that:,-0.78,14.5,4,2,9,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,Incoming Student Programs,9.21,12.7,3,1,3,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,Limits on Transfer Units,75.88,3.7,2,1,4,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,LIMITS ON TRANSFER UNITS: Transfer students will be granted up to70 semester/ 105 quarter unitsof credit for lower-division coursework completed at any institution (or combination of institutions).,10.23,18.5,14,1,27,0.5574,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,"For units beyond the maximum, subject credit for appropriate coursework will be granted and may be used to satisfy requirements:",42.72,12.3,8,1,20,0.765,0.16666666666666669
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,UC San Diego accepts transfer students at the junior (third year) level only.,66.74,7.2,3,1,13,0.3182,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,A transfer applicant may be considered in senior standing if they have completed:,49.82,9.5,6,1,13,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,"If you have questions about the number of transferrable units, please call the Office of Admissions at 858-534-4831.",78.59,6.8,3,1,18,0.3818,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,UC Summer Session + Online Learning Courses,48.47,8.0,4,1,6,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,"If you are a current UCSD student, you can enroll in a class at another UC campus without additional fees or applying for admission (during the academic year), subject to available space and campus approval. This process is known as""simultaneous enrollment.""",42.21,12.5,12,2,41,0.4767,0.05833333333333334
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,"University of California (UC)Cross-Campus Enrollmentoffers exceptional, flexible and innovative online learning.",-58.14,24.1,9,1,11,0.5859,0.5833333333333333
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,Cross-Campus Enrollment Information for UC San Diego Anthropology students:,3.12,15.1,5,1,9,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,You must:,120.21,-3.1,0,1,2,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,Undergraduate Program,-91.3,26.5,2,1,2,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,Prospective students,Y,Anthropology,4:58,"UC San Diego 9500 Gilman Dr. La Jolla, CA 92093 (858) 534-2230Copyright ©2024Regents of the University of California.
        All rights reserved.",72.83,4.8,6,3,21,0.0,0.0
https://anthropology.ucsd.edu/about-us/contact/advising-hours.html,Advising,Y,Anthropology,4:58,Anthropology Academic Advising,-109.24,29.2,3,1,3,0.0,0.0
https://anthropology.ucsd.edu/about-us/contact/advising-hours.html,Advising,Y,Anthropology,4:58,Undergraduate Students,-91.3,26.5,2,1,2,0.0,0.0
https://anthropology.ucsd.edu/about-us/contact/advising-hours.html,Advising,Y,Anthropology,4:58,Submit all academic questions through theVirtual Advising Center (VAC).,20.04,12.7,5,1,9,0.0,-0.05
https://anthropology.ucsd.edu/about-us/contact/advising-hours.html,Advising,Y,Anthropology,4:58,"To schedule a 20-minute advising appointment, please emailanthroadvising@ucsd.eduwith the following information:",-10.26,16.1,5,2,11,0.3182,0.0
https://anthropology.ucsd.edu/about-us/contact/advising-hours.html,Advising,Y,Anthropology,4:58,Please note that advising appointments may be limited. We encourage you to ask all questions through the Virtual Advising Center first in case they can be addressed there.,65.73,7.6,7,2,28,0.5719,0.02619047619047619
https://anthropology.ucsd.edu/about-us/contact/advising-hours.html,Advising,Y,Anthropology,4:58,Graduate,-47.99,20.2,1,1,1,0.0,0.0
